test_id,language,category,config_index,message_index,input_length,encrypt_time_us,decrypt_time_us,chars_processed,chars_per_sec,success,failure_detail
96,la,jumbled,5,1,102,315.4,250.8,143,252561,1,
97,la,jumbled,5,2,218,477.8,436.9,273,298459,1,
98,la,jumbled,5,3,107,305.8,334.5,148,231142,1,
99,la,jumbled,5,4,213,492.8,485.7,276,282064,1,
100,la,jumbled,5,5,74,487.9,426.3,113,123605,1,
101,la,real_message,1,1,400,734.8,637.3,409,298083,1,
102,la,real_message,1,2,400,727.5,654.5,409,295948,1,
103,la,real_message,1,3,400,685.5,752.5,409,284423,1,
104,la,real_message,1,4,400,723.9,1129.6,410,221203,1,
105,la,real_message,1,5,400,766.7,630.5,410,293444,1,
106,la,real_message,2,1,400,714.2,620.9,409,306344,1,
107,la,real_message,2,2,400,772.8,620.4,409,293569,1,
108,la,real_message,2,3,400,683.6,659.8,409,304451,1,
109,la,real_message,2,4,400,685.2,638.3,410,309785,1,
110,la,real_message,2,5,400,672.7,624.4,410,316090,1,
111,la,real_message,3,1,400,1251.4,858.8,409,193820,1,
112,la,real_message,3,2,400,832.5,974.4,409,226355,1,
113,la,real_message,3,3,400,733.3,621,409,302001,1,
114,la,real_message,3,4,400,685,618.7,410,314490,1,
115,la,real_message,3,5,400,674.6,617.7,410,317264,1,
116,la,real_message,4,1,400,725.3,631.5,409,301445,1,
117,la,real_message,4,2,400,678.4,627.2,409,313266,1,
118,la,real_message,4,3,400,715.7,1043.9,409,232439,1,
119,la,real_message,4,4,400,694.4,760.9,410,281729,1,
120,la,real_message,4,5,400,684.5,671.7,410,302315,1,
121,la,real_message,5,1,400,680.2,633.7,409,311287,1,
122,la,real_message,5,2,400,679.1,631.8,409,311999,1,
123,la,real_message,5,3,400,936.3,740.6,409,243902,1,
124,la,real_message,5,4,400,783,623,410,291607,1,
125,la,real_message,5,5,400,687.1,1080.2,410,231992,1,
126,la,repeated_phrase,1,1,201,735.6,460,221,184844,1,
127,la,repeated_phrase,1,2,120,302.9,250.8,140,252845,1,
128,la,repeated_phrase,1,3,150,326.6,282.9,170,278917,1,
129,la,repeated_phrase,1,4,156,571.1,520,176,161305,1,
130,la,repeated_phrase,1,5,209,428.1,364.2,229,289032,1,
131,la,repeated_phrase,2,1,177,720.6,670.6,197,141604,1,
132,la,repeated_phrase,2,2,187,758.3,675.3,207,144392,1,
133,la,repeated_phrase,2,3,34,392.1,242.5,54,85093,1,
134,la,repeated_phrase,2,4,73,243.9,201.7,93,208707,1,
135,la,repeated_phrase,2,5,99,488.8,443.9,119,127587,1,
136,la,repeated_phrase,3,1,206,424.3,364,226,286693,1,
137,la,repeated_phrase,3,2,143,323.8,282.7,163,268755,1,
138,la,repeated_phrase,3,3,73,241.5,203.4,93,209036,1,
139,la,repeated_phrase,3,4,164,606.5,449.3,184,174275,1,
140,la,repeated_phrase,3,5,51,236,187.9,71,167492,1,
141,la,repeated_phrase,4,1,79,254.8,218.5,99,209170,1,
142,la,repeated_phrase,4,2,160,339.8,300.9,180,280943,1,
143,la,repeated_phrase,4,3,211,437.9,399.1,231,275986,1,
144,la,repeated_phrase,4,4,191,396.9,386.3,211,269408,1,
145,la,repeated_phrase,4,5,31,223,315.8,51,94654.8,1,
146,la,repeated_phrase,5,1,119,301.7,249.8,139,252040,1,
147,la,repeated_phrase,5,2,94,278.3,232.6,114,223136,1,
148,la,repeated_phrase,5,3,108,275.2,233,128,251869,1,
149,la,repeated_phrase,5,4,140,318.3,280.3,160,267290,1,
150,la,repeated_phrase,5,5,77,251,217.1,97,207221,1,
151,la,edge_case,1,1,0,167.9,138.3,20,65316.8,1,
152,la,edge_case,1,2,1,165.6,137.4,21,69306.9,1,
153,la,edge_case,1,3,19,164.2,137,19,63081,1,
154,la,edge_case,1,4,25,242.4,208.2,25,55481.6,1,
155,la,edge_case,1,5,25,387.8,342.8,45,61593.2,1,
156,la,edge_case,2,1,0,170.3,137.6,20,64956.2,1,
157,la,edge_case,2,2,1,166.5,136.8,21,69238.4,1,
158,la,edge_case,2,3,19,164.1,150,19,60490.3,1,
159,la,edge_case,2,4,25,164.4,136.3,25,83139.3,1,
160,la,edge_case,2,5,25,180.5,152.8,45,135014,1,
161,la,edge_case,3,1,0,167.7,137.8,20,65466.4,1,
162,la,edge_case,3,2,1,162.5,136.7,21,70187.2,1,
163,la,edge_case,3,3,19,164.8,136.4,19,63081,1,
164,la,edge_case,3,4,25,162.9,136.2,25,83584.1,1,
165,la,edge_case,3,5,25,181.1,153.1,45,134650,1,
166,la,edge_case,4,1,0,167,137.3,20,65724.6,1,
167,la,edge_case,4,2,1,204.8,147.9,21,59540.7,1,
168,la,edge_case,4,3,19,176.7,136.7,19,60625.4,1,
169,la,edge_case,4,4,25,164.1,136.6,25,83139.3,1,
170,la,edge_case,4,5,25,179.8,164.1,45,130852,1,
171,la,edge_case,5,1,0,281.6,152.9,20,46029.9,1,
172,la,edge_case,5,2,1,170.6,136.3,21,68426.2,1,
173,la,edge_case,5,3,19,166.5,136.4,19,62727,1,
174,la,edge_case,5,4,25,167.2,136.9,25,82209.8,1,
175,la,edge_case,5,5,25,182,152.2,45,134650,1,
176,en,same_char,1,1,211,430.1,397.3,231,279188,1,
177,en,same_char,1,2,110,292.3,367.7,130,196970,1,
178,en,same_char,1,3,121,289.1,250.1,141,261499,1,
179,en,same_char,1,4,218,422.9,412.5,238,284893,1,
180,en,same_char,1,5,175,729.7,652.1,195,141120,1,
181,en,same_char,2,1,165,686.6,617.3,185,141882,1,
182,en,same_char,2,2,55,234.8,304.4,75,139095,1,
183,en,same_char,2,3,165,422.6,384.8,185,229131,1,
184,en,same_char,2,4,140,328.7,299.2,160,254818,1,
185,en,same_char,2,5,171,354.9,360.2,191,267096,1,
186,en,same_char,3,1,32,205.8,172.1,52,137603,1,
187,en,same_char,3,2,64,250.5,201.9,84,185676,1,
188,en,same_char,3,3,144,532.9,401.2,164,175570,1,
189,en,same_char,3,4,141,359.3,388.9,161,215183,1,
190,en,same_char,3,5,140,375.3,284.7,160,242424,1,
191,en,same_char,4,1,175,372.1,330.5,195,277541,1,
192,en,same_char,4,2,125,302.1,274.6,145,251431,1,
193,en,same_char,4,3,145,394.6,342.1,165,223972,1,
194,en,same_char,4,4,87,432.1,388,107,130472,1,
195,en,same_char,4,5,129,338.3,266.1,149,246525,1,
196,en,same_char,5,1,191,409.4,347.8,211,278658,1,
197,en,same_char,5,2,90,250.6,217.6,110,234942,1,
198,en,same_char,5,3,86,258.3,217.2,106,222923,1,
199,en,same_char,5,4,34,208.5,170.3,54,142555,1,
200,en,same_char,5,5,184,438,352.9,204,257934,1,
201,en,alternating,1,1,187,392.7,360.5,207,274827,1,
202,en,alternating,1,2,211,420.6,378.6,231,289039,1,
203,en,alternating,1,3,33,200.2,168.9,53,143593,1,
204,en,alternating,1,4,146,316,280.4,166,278337,1,
205,en,alternating,1,5,104,272.1,233.8,124,245108,1,
206,en,alternating,2,1,200,768.4,733.3,220,146501,1,
207,en,alternating,2,2,201,425.4,363.2,221,280243,1,
208,en,alternating,2,3,157,354.3,326.1,177,260141,1,
209,en,alternating,2,4,172,354.8,313.9,192,287124,1,
210,en,alternating,2,5,29,201.2,169.6,49,132147,1,
211,en,alternating,3,1,90,248.8,217.1,110,236102,1,
212,en,alternating,3,2,107,395.2,286.7,127,186244,1,
213,en,alternating,3,3,114,287.6,291.3,134,231473,1,
214,en,alternating,3,4,93,266.8,232.7,113,226226,1,
215,en,alternating,3,5,65,233.7,350.9,85,145399,1,
216,en,alternating,4,1,71,247.6,201.3,91,202718,1,
217,en,alternating,4,2,160,343.9,297,180,280855,1,
218,en,alternating,4,3,144,317.4,280.7,164,274202,1,
219,en,alternating,4,4,39,226.9,169.3,59,148915,1,
220,en,alternating,4,5,28,182.8,152.9,48,142985,1,
221,en,alternating,5,1,181,370.6,330.4,201,286733,1,
222,en,alternating,5,2,187,395.2,370,207,270518,1,
223,en,alternating,5,3,143,318.4,280.4,163,272211,1,
224,en,alternating,5,4,56,217.1,185.3,76,188867,1,
225,en,alternating,5,5,168,352,313.7,188,282409,1,
226,en,cyclic,1,1,88,286.9,220,108,213060,1,
227,en,cyclic,1,2,109,284.2,248.7,129,242072,1,
228,en,cyclic,1,3,185,498.3,333.2,205,246542,1,
229,en,cyclic,1,4,65,236.5,201.3,85,194153,1,
230,en,cyclic,1,5,215,437.6,378.5,235,287955,1,
231,en,cyclic,2,1,70,301.3,202.8,90,178536,1,
232,en,cyclic,2,2,57,216,185.1,77,191972,1,
233,en,cyclic,2,3,23,208.2,154.6,43,118523,1,
234,en,cyclic,2,4,31,200.3,169,51,138099,1,
235,en,cyclic,2,5,176,372.5,330.3,196,278884,1,
236,en,cyclic,3,1,172,354.1,315.1,192,286910,1,
237,en,cyclic,3,2,175,379.2,330.3,195,274841,1,
238,en,cyclic,3,3,122,324.9,250.2,142,246914,1,
239,en,cyclic,3,4,186,384.4,346.3,206,281921,1,
240,en,cyclic,3,5,101,279.1,234.3,121,235684,1,
241,en,cyclic,4,1,23,185.3,153.9,43,126769,1,
242,en,cyclic,4,2,209,402,361.2,229,300052,1,
243,en,cyclic,4,3,169,365.8,314.5,189,277819,1,
244,en,cyclic,4,4,66,234.5,201.8,86,197112,1,
245,en,cyclic,4,5,198,400.8,361.3,218,286052,1,
246,en,cyclic,5,1,63,278.7,218.8,83,166834,1,
247,en,cyclic,5,2,92,258.9,218.6,112,234555,1,
248,en,cyclic,5,3,33,200.4,168.9,53,143515,1,
249,en,cyclic,5,4,38,197.4,169.3,58,158167,1,
250,en,cyclic,5,5,163,353.5,314.1,183,274116,1,
251,en,jumbled,1,1,198,452.9,418.6,258,296041,1,
252,en,jumbled,1,2,136,353.2,352.3,184,260808,1,
253,en,jumbled,1,3,202,465.6,411.1,260,296567,1,
254,en,jumbled,1,4,182,428,379.2,235,291130,1,
255,en,jumbled,1,5,97,285,260.2,135,247616,1,
256,en,jumbled,2,1,145,368.9,330.4,195,278850,1,
257,en,jumbled,2,2,180,457.7,586.5,233,223137,1,
258,en,jumbled,2,3,66,256.5,230.1,99,203453,1,
259,en,jumbled,2,4,119,316.3,343.3,161,244087,1,
260,en,jumbled,2,5,186,436.6,394,242,291356,1,
261,en,jumbled,3,1,66,255.2,217.8,99,209302,1,
262,en,jumbled,3,2,83,266.8,233.4,121,241903,1,
263,en,jumbled,3,3,63,390,219.7,98,160735,1,
264,en,jumbled,3,4,174,430.8,364.6,226,284134,1,
265,en,jumbled,3,5,151,372.1,330.6,203,288886,1,
266,en,jumbled,4,1,87,268.1,233.9,126,250996,1,
267,en,jumbled,4,2,80,266.5,234,115,229770,1,
268,en,jumbled,4,3,28,199.7,169.4,52,140883,1,
269,en,jumbled,4,4,35,251.9,205.2,64,140013,1,
270,en,jumbled,4,5,69,299.4,279.8,97,167472,1,
271,en,jumbled,5,1,75,253.9,262.8,107,207083,1,
272,en,jumbled,5,2,162,406.3,348.2,213,282306,1,
273,en,jumbled,5,3,76,250.3,216.9,112,239726,1,
274,en,jumbled,5,4,74,249.3,217.2,106,227224,1,
275,en,jumbled,5,5,185,420.1,378.9,240,300375,1,
276,en,real_message,1,1,400,935.6,715.1,408,247168,1,
277,en,real_message,1,2,400,681.8,629.1,408,311237,1,
278,en,real_message,1,3,400,749.9,620.5,409,298453,1,
279,en,real_message,1,4,400,683,618.9,410,314924,1,
280,en,real_message,1,5,400,696,633.4,411,309162,1,
281,en,real_message,2,1,400,681.1,622.9,408,312883,1,
282,en,real_message,2,2,400,671.6,620.9,408,315667,1,
283,en,real_message,2,3,400,678.4,619.9,409,315027,1,
284,en,real_message,2,4,400,682.8,629.9,410,312333,1,
285,en,real_message,2,5,400,852.4,638.6,411,275654,1,
286,en,real_message,3,1,400,777.1,639.9,408,287932,1,
287,en,real_message,3,2,400,903.5,635.6,408,265090,1,
288,en,real_message,3,3,400,685.5,618.7,409,313602,1,
289,en,real_message,3,4,400,689.7,621.5,410,312691,1,
290,en,real_message,3,5,400,680.6,619.3,411,316178,1,
291,en,real_message,4,1,400,674,674.1,408,302648,1,
292,en,real_message,4,2,400,829.9,622,408,281011,1,
293,en,real_message,4,3,400,677.3,629.8,409,312906,1,
294,en,real_message,4,4,400,842.5,623.8,410,279615,1,
295,en,real_message,4,5,400,683.6,619.7,411,315353,1,
296,en,real_message,5,1,400,806.3,667.2,408,276892,1,
297,en,real_message,5,2,400,692.9,621.1,408,310502,1,
298,en,real_message,5,3,400,678.7,616.4,409,315806,1,
299,en,real_message,5,4,400,686,620,410,313936,1,
300,en,real_message,5,5,400,673.5,619.3,411,317915,1,
301,en,repeated_phrase,1,1,200,404.6,401.2,220,273021,1,
302,en,repeated_phrase,1,2,173,363.7,317.1,193,283490,1,
303,en,repeated_phrase,1,3,41,200.3,169.6,61,164909,1,
304,en,repeated_phrase,1,4,154,340.7,297.7,174,272556,1,
305,en,repeated_phrase,1,5,65,232.6,201.4,85,195853,1,
306,en,repeated_phrase,2,1,156,344.7,299,176,273419,1,
307,en,repeated_phrase,2,2,215,456.3,378.9,235,281370,1,
308,en,repeated_phrase,2,3,27,350.2,227.5,47,81357.1,1,
309,en,repeated_phrase,2,4,197,390.1,357.4,217,290301,1,
310,en,repeated_phrase,2,5,49,227.2,185.1,69,167354,1,
311,en,repeated_phrase,3,1,89,250.1,217.1,109,233305,1,
312,en,repeated_phrase,3,2,42,208.5,175.3,62,161542,1,
313,en,repeated_phrase,3,3,166,362.7,315.2,186,274377,1,
314,en,repeated_phrase,3,4,144,390.1,282.9,164,243685,1,
315,en,repeated_phrase,3,5,204,411.2,377.4,224,284048,1,
316,en,repeated_phrase,4,1,28,183,154.1,48,142391,1,
317,en,repeated_phrase,4,2,59,233.2,186.6,79,188185,1,
318,en,repeated_phrase,4,3,53,214.9,185.5,73,182318,1,
319,en,repeated_phrase,4,4,216,420.9,388.2,236,291682,1,
320,en,repeated_phrase,4,5,28,191.7,153.4,48,139090,1,
321,en,repeated_phrase,5,1,167,365.1,315.7,187,274677,1,
322,en,repeated_phrase,5,2,119,292.9,271.8,139,246148,1,
323,en,repeated_phrase,5,3,180,377,330.6,200,282646,1,
324,en,repeated_phrase,5,4,110,296.4,249.8,130,238008,1,
325,en,repeated_phrase,5,5,186,384.5,388.2,206,266598,1,
326,en,edge_case,1,1,0,168.4,137.7,20,65338.1,1,
327,en,edge_case,1,2,1,167.8,137.5,21,68784.8,1,
328,en,edge_case,1,3,19,164.4,136.1,19,63228,1,
329,en,edge_case,1,4,25,163.5,136.4,25,83361.1,1,
330,en,edge_case,1,5,25,183.2,153.5,45,133650,1,
331,en,edge_case,2,1,0,169.3,150.1,20,62617.4,1,
332,en,edge_case,2,2,1,243.9,139.5,21,54773.1,1,
333,en,edge_case,2,3,19,170.5,137.8,19,61628.3,1,
334,en,edge_case,2,4,25,165.3,150.4,25,79189.1,1,
335,en,edge_case,2,5,25,183.6,152.6,45,133849,1,
336,en,edge_case,3,1,0,168.1,138.1,20,65316.8,1,
337,en,edge_case,3,2,1,162.7,136.9,21,70093.5,1,
338,en,edge_case,3,3,19,165,136.8,19,62955.6,1,
339,en,edge_case,3,4,25,177.9,137.2,25,79339.9,1,
340,en,edge_case,3,5,25,189.3,154.4,45,130928,1,
341,en,edge_case,4,1,0,167,137.5,20,65681.4,1,
342,en,edge_case,4,2,1,163.5,136.4,21,70023.3,1,
343,en,edge_case,4,3,19,164.4,136.3,19,63185.9,1,
344,en,edge_case,4,4,25,168.5,137,25,81833.1,1,
345,en,edge_case,4,5,25,180.5,152.6,45,135095,1,
346,en,edge_case,5,1,0,163.7,136.9,20,66533.6,1,
347,en,edge_case,5,2,1,164.1,136.6,21,69837,1,
348,en,edge_case,5,3,19,177.7,136.6,19,60451.8,1,
349,en,edge_case,5,4,25,164.5,136.3,25,83111.7,1,
350,en,edge_case,5,5,25,180.1,152.1,45,135461,1,
351,es,same_char,1,1,87,253.1,218.5,107,226887,1,
352,es,same_char,1,2,133,301.9,266.1,153,269366,1,
353,es,same_char,1,3,168,352.2,315.2,188,281690,1,
354,es,same_char,1,4,49,283.1,190.5,69,145693,1,
355,es,same_char,1,5,179,373.2,331.2,199,282510,1,
356,es,same_char,2,1,201,402.7,363.9,221,288286,1,
357,es,same_char,2,2,171,360.6,315.3,191,282586,1,
358,es,same_char,2,3,98,266.7,234.3,118,235529,1,
359,es,same_char,2,4,131,304.2,266.6,151,264541,1,
360,es,same_char,2,5,44,207.6,171.3,64,168910,1,
361,es,same_char,3,1,56,217.1,186.3,76,188399,1,
362,es,same_char,3,2,181,372.3,340.5,201,281987,1,
363,es,same_char,3,3,69,232.1,211.9,89,200450,1,
364,es,same_char,3,4,117,520.9,311.3,137,164624,1,
365,es,same_char,3,5,135,314.6,267.7,155,266186,1,
366,es,same_char,4,1,157,347.7,361.1,177,249718,1,
367,es,same_char,4,2,99,269.2,232.8,119,237052,1,
368,es,same_char,4,3,52,226.2,186.3,72,174545,1,
369,es,same_char,4,4,50,214,185.5,70,175219,1,
370,es,same_char,4,5,107,263.5,232.6,127,255997,1,
371,es,same_char,5,1,34,198.9,169.3,54,146659,1,
372,es,same_char,5,2,111,290,249.1,131,242998,1,
373,es,same_char,5,3,35,202.5,169.4,55,147889,1,
374,es,same_char,5,4,93,264.6,243.9,113,222222,1,
375,es,same_char,5,5,22,181.8,152.2,42,125749,1,
376,es,alternating,1,1,50,218.8,186.9,70,172541,1,
377,es,alternating,1,2,148,317.6,282,168,280187,1,
378,es,alternating,1,3,210,428.9,379.7,230,284442,1,
379,es,alternating,1,4,25,193.6,158.1,45,127950,1,
380,es,alternating,1,5,46,221.3,185.6,66,162202,1,
381,es,alternating,2,1,63,253.2,202.1,83,182297,1,
382,es,alternating,2,2,114,283.4,260.4,134,246414,1,
383,es,alternating,2,3,187,741.3,703,207,143322,1,
384,es,alternating,2,4,147,328.3,286.3,167,271721,1,
385,es,alternating,2,5,57,223.6,190.6,77,185901,1,
386,es,alternating,3,1,123,284.5,249.5,143,267790,1,
387,es,alternating,3,2,106,276,234,126,247059,1,
388,es,alternating,3,3,50,376.4,316.6,70,101010,1,
389,es,alternating,3,4,63,235.5,200.9,83,190192,1,
390,es,alternating,3,5,132,304.6,266.8,152,266013,1,
391,es,alternating,4,1,47,217.3,185.5,67,166336,1,
392,es,alternating,4,2,122,279.9,248.6,142,268685,1,
393,es,alternating,4,3,31,199.4,168.6,51,138587,1,
394,es,alternating,4,4,34,198.6,168.8,54,146979,1,
395,es,alternating,4,5,116,288.5,249.6,136,252741,1,
396,es,alternating,5,1,178,760.3,622.4,198,143198,1,
397,es,alternating,5,2,204,654.4,378,224,216970,1,
398,es,alternating,5,3,160,336.7,297.5,180,283822,1,
399,es,alternating,5,4,112,284.9,249.6,132,246960,1,
400,es,alternating,5,5,26,185.7,154.1,46,135374,1,
401,es,cyclic,1,1,33,201.4,168.9,53,143127,1,
402,es,cyclic,1,2,100,301.7,233.4,120,224257,1,
403,es,cyclic,1,3,196,386.9,344.4,216,295364,1,
404,es,cyclic,1,4,198,404.6,360.4,218,284967,1,
405,es,cyclic,1,5,83,349.3,445.7,103,129560,1,
406,es,cyclic,2,1,219,420,378.6,239,299274,1,
407,es,cyclic,2,2,33,210,170.7,53,139217,1,
408,es,cyclic,2,3,50,220.1,185.6,70,172541,1,
409,es,cyclic,2,4,62,231.4,262.3,82,166093,1,
410,es,cyclic,2,5,88,254.7,217.4,108,228765,1,
411,es,cyclic,3,1,128,302.5,266,148,260334,1,
412,es,cyclic,3,2,55,215.6,184.2,75,187594,1,
413,es,cyclic,3,3,89,277.9,219,109,219360,1,
414,es,cyclic,3,4,98,265.9,243.6,118,231600,1,
415,es,cyclic,3,5,67,234.9,225.4,87,189007,1,
416,es,cyclic,4,1,145,370.6,301.5,165,245499,1,
417,es,cyclic,4,2,218,438.4,379,238,291167,1,
418,es,cyclic,4,3,198,417.4,424.4,218,258969,1,
419,es,cyclic,4,4,144,379.1,393,164,212408,1,
420,es,cyclic,4,5,139,326.9,281.9,159,261170,1,
421,es,cyclic,5,1,66,238.3,203.1,86,194835,1,
422,es,cyclic,5,2,118,284.1,250.4,138,258185,1,
423,es,cyclic,5,3,96,267.2,233.7,116,231583,1,
424,es,cyclic,5,4,149,317.7,281.2,169,282184,1,
425,es,cyclic,5,5,203,402.5,372.8,223,287631,1,
426,es,jumbled,1,1,104,297.3,273.6,141,246978,1,
427,es,jumbled,1,2,82,459.4,238.1,121,173477,1,
428,es,jumbled,1,3,165,389.2,388.3,215,276527,1,
429,es,jumbled,1,4,95,284.3,249.2,137,256795,1,
430,es,jumbled,1,5,198,451.7,410.7,257,298006,1,
431,es,jumbled,2,1,185,424.3,378,239,297894,1,
432,es,jumbled,2,2,35,201.6,180.2,63,165008,1,
433,es,jumbled,2,3,209,478.8,427,274,302495,1,
434,es,jumbled,2,4,200,454.4,410.8,263,303976,1,
435,es,jumbled,2,5,59,233.9,201.2,90,206849,1,
436,es,jumbled,3,1,85,271.2,234.2,122,241393,1,
437,es,jumbled,3,2,194,438.2,393.6,247,296946,1,
438,es,jumbled,3,3,74,259.3,218.6,105,219711,1,
439,es,jumbled,3,4,45,226.7,185.2,73,177227,1,
440,es,jumbled,3,5,139,341.8,298,181,282901,1,
441,es,jumbled,4,1,159,396.9,406.5,214,266368,1,
442,es,jumbled,4,2,39,217.8,185.3,67,166212,1,
443,es,jumbled,4,3,217,513.6,441.4,280,293194,1,
444,es,jumbled,4,4,160,403.5,386.6,212,268320,1,
445,es,jumbled,4,5,189,441.2,394.5,250,299150,1,
446,es,jumbled,5,1,166,394.5,348.7,214,287944,1,
447,es,jumbled,5,2,61,234.8,202.1,95,217441,1,
448,es,jumbled,5,3,102,283.6,249,143,268494,1,
449,es,jumbled,5,4,112,299.4,337.4,145,227701,1,
450,es,jumbled,5,5,116,327.7,282.6,161,263805,1,
451,es,real_message,1,1,400,777.4,636.4,413,292121,1,
